"card_id","language","name","subtitle","ability_1_title","ability_1_text","ability_2_title","ability_2_text"
"04","ja","大槌の兵士","陣形砕き","登場｜装甲砕き","敵1体のシールドをすべて取り除く。","",""
"04","ko","거대망치 병사","전열 파괴자","등장 | 갑옷 파괴","적 하나의 보호막을 모두 제거합니다.","",""
"05","zh-TW","獨眼雙頭巨人","裂山雙顱","被動｜雙顱猛攻","每回合第一次攻擊後，對同一目標再造成 2 點傷害。","",""
"05","en","Two-Headed Cyclops","Mountain Splitter","Passive | Twin Assault","After its first attack each turn, deal 2 more damage to the same target.","",""
"05","ja","双頭のサイクロプス","山砕きの双頭","常時｜双頭の猛攻","毎ターン最初の攻撃後、同じ対象に追加で2ダメージを与える。","",""
"05","ko","쌍두 사이클롭스","산을 가르는 두 머리","지속 | 쌍두 맹공","매 턴 첫 공격 후 같은 대상에게 추가로 피해를 2 줍니다.","",""
"06","zh-TW","地精商人","金袋掮客","登場｜奇貨交易","抽 1 張牌。","",""
"06","en","Goblin Merchant","Goldpouch Broker","On Play | Rare Trade","Draw 1 card.","",""
"06","ja","ゴブリンの商人","金袋の仲介人","登場｜珍品取引","カードを1枚引く。","",""
"06","ko","고블린 상인","금주머니 중개인","등장 | 진귀한 거래","카드를 1장 뽑습니다.","",""
"07","zh-TW","赤牙獸人","血誓鬥士","被動｜赤牙狂怒","自身血量為 3 點以下時，戰鬥值增加 2 點。","",""
"07","en","Redtusk Orc","Bloodsworn Fighter","Passive | Redtusk Fury","While this monster has 3 Health or less, it has +2 Attack.","",""
"07","ja","赤牙のオーク","血誓の戦士","常時｜赤牙の怒り","自身の体力が3以下の間、攻撃力が＋2される。","",""
"07","ko","붉은엄니 오크","피의 맹세 전사","지속 | 붉은엄니의 분노","자신의 생명력이 3 이하인 동안 공격력이 +2 증가합니다.","",""
"08","zh-TW","鹿角部族薩滿","林靈引路人","登場｜林靈恩賜","使一名友方怪獸恢復 3 點血量。","被動｜枝葉庇護","你的回合結束時，使自身獲得 1 點護盾。"
"08","en","Antler Shaman","Grove Spirit Guide","On Play | Forest Gift","Restore 3 Health to an ally.","Passive | Leaf Shelter","At the end of your turn, gain 1 Shield."
"08","ja","鹿角のシャーマン","森霊の案内人","登場｜森霊の恵み","味方1体の体力を3回復する。","常時｜木の葉の庇護","自分のターン終了時、自身にシールド1を付与する。"
"08","ko","사슴뿔 주술사","숲 정령의 길잡이","등장 | 숲의 선물","아군 하나의 생명력을 3 회복합니다.","지속 | 나뭇잎의 가호","내 턴 종료 시 자신에게 보호막 1을 부여합니다."
"09","zh-TW","狼騎劫掠者","疾牙掠影","被動｜突襲","登場的回合即可攻擊。","",""
"09","en","Wolf Raider","Swiftfang Shadow","Passive | Rush","Can attack on the turn it enters play.","",""
"09","ja","狼騎兵の略奪者","疾牙の影","常時｜急襲","登場したターンに攻撃できる。","",""
"09","ko","늑대 기수 약탈자","날쌘엄니의 그림자","지속 | 급습","등장한 턴에 공격할 수 있습니다.","",""
"10","zh-TW","豺狼人獵頭者","荒原追獵者","登場｜獵首標記","對一名已受傷的敵方怪獸造成 2 點傷害。","",""
"10","en","Gnoll Headhunter","Wasteland Tracker","On Play | Marked Prey","Deal 2 damage to a wounded enemy.","",""
"10","ja","ノールの首狩り","荒野の追跡者","登場｜狩りの印","傷を負った敵1体に2ダメージを与える。","",""
"10","ko","놀 머리사냥꾼","황야의 추적자","등장 | 사냥의 표식","다친 적 하나에게 피해를 2 줍니다.","",""
"11","zh-TW","空心樹人","古林空殼","被動｜嘲諷","敵方必須優先攻擊此怪獸。","被動｜老樹新生","你的回合開始時，恢復自身 1 點血量。"
"11","en","Hollow Treant","Ancient Husk","Passive | Taunt","Enemies must attack this monster first.","Passive | Old Growth","At the start of your turn, restore 1 Health to itself."
"11","ja","空洞のトレント","古森の抜け殻","常時｜挑発","敵はこのモンスターを優先して攻撃しなければならない。","常時｜老樹の再生","自分のターン開始時、自身の体力を1回復する。"
"11","ko","속 빈 나무정령","고대 숲의 껍질","지속 | 도발","적은 이 몬스터를 우선 공격해야 합니다.","지속 | 고목의 재생","내 턴 시작 시 자신의 생명력을 1 회복합니다."
"12","zh-TW","月蛾妖精","銀翼織夢者","登場｜月粉迷夢","使一名敵方怪獸的戰鬥值降低 2 點，持續至你的下個回合開始。","",""
"12","en","Moonmoth Fae","Silverwing Dreamweaver","On Play | Moon Dust","Give an enemy -2 Attack until the start of your next turn.","",""
"12","ja","月蛾の妖精","銀翼の夢織り","登場｜月粉の夢","敵1体の攻撃力を次の自分のターン開始時まで−2する。","",""
"12","ko","달나방 요정","은빛 날개 꿈술사","등장 | 달가루의 꿈","내 다음 턴 시작까지 적 하나의 공격력을 2 감소시킵니다.","",""
"13","zh-TW","魚人潮汐祭司","迴潮祈者","登場｜回潮治癒","使所有友方怪獸恢復 1 點血量。","被動｜潮汐祝禱","你的回合結束時，使自身恢復 1 點血量。"
"13","en","Murloc Tide Priest","Returning Tide","On Play | Tidal Healing","Restore 1 Health to all allies.","Passive | Tide Prayer","At the end of your turn, restore 1 Health to itself."
"13","ja","マーロックの潮司祭","返し潮の祈り手","登場｜潮の癒やし","味方全体の体力を1回復する。","常時｜潮の祈り","自分のターン終了時、自身の体力を1回復する。"
"13","ko","멀록 파도 사제","돌아오는 파도의 기도자","등장 | 밀물의 치유","모든 아군의 생명력을 1 회복합니다.","지속 | 파도의 기도","내 턴 종료 시 자신의 생명력을 1 회복합니다."
"14","zh-TW","蟹甲角鬥士","鉗鋒鬥將","登場｜甲殼防禦","獲得 3 點護盾，優先抵擋傷害。","",""
"14","en","Crab Gladiator","Clawblade Champion","On Play | Shell Guard","Gain 3 Shield, which absorbs damage first.","",""
"14","ja","蟹殻の剣闘士","鋏刃の闘将","登場｜甲殻の守り","ダメージを優先して吸収するシールド3を得る。","",""
"14","ko","게껍질 검투사","집게날의 투사","등장 | 갑각 방어","피해를 먼저 흡수하는 보호막 3을 얻습니다.","",""
"15","zh-TW","沉船寄居怪","殘骸背負者","被動｜嘲諷","敵方必須優先攻擊此怪獸。","登場｜殘船護殼","獲得 2 點護盾，優先抵擋傷害。"
"15","en","Shipwreck Hermit","Wreckage Bearer","Passive | Taunt","Enemies must attack this monster first.","On Play | Wreck Shell","Gain 2 Shield, which absorbs damage first."
"15","ja","難破船のヤドカリ","残骸を背負う者","常時｜挑発","敵はこのモンスターを優先して攻撃しなければならない。","登場｜残骸の殻","ダメージを優先して吸収するシールド2を得る。"
"15","ko","난파선 소라게","잔해를 짊어진 자","지속 | 도발","적은 이 몬스터를 우선 공격해야 합니다.","등장 | 난파선 껍질","피해를 먼저 흡수하는 보호막 2를 얻습니다."
"16","zh-TW","溺亡水手","幽潮歸客","登場｜冰冷拖曳","使一名敵方怪獸的戰鬥值降低 1 點，持續至你的下個回合開始。","",""
"16","en","Drowned Sailor","Ghost-Tide Wanderer","On Play | Icy Drag","Give an enemy -1 Attack until the start of your next turn.","",""
"16","ja","溺れた船乗り","幽潮の帰還者","登場｜冷たい引き波","敵1体の攻撃力を次の自分のターン開始時まで−1する。","",""
"16","ko","익사한 선원","유령 파도의 귀환자","등장 | 차가운 끌어당김","내 다음 턴 시작까지 적 하나의 공격력을 1 감소시킵니다.","",""
"17","zh-TW","礁岩海妖","碎浪歌者","登場｜惑心歌聲","使一名敵方怪獸無法攻擊，持續至你的下個回合開始。","",""
"17","en","Reef Siren","Wavebreaker Singer","On Play | Beguiling Song","An enemy cannot attack until the start of your next turn.","",""
"17","ja","岩礁のセイレーン","砕け波の歌い手","登場｜惑わす歌","敵1体は次の自分のターン開始時まで攻撃できない。","",""
"17","ko","암초의 세이렌","부서진 파도의 가수","등장 | 유혹의 노래","적 하나가 내 다음 턴 시작까지 공격할 수 없습니다.","",""
"18","zh-TW","灰燼獵犬","燼野追蹤者","被動｜突襲","登場的回合即可攻擊。","被動｜餘火","被擊敗時，對一名敵方怪獸造成 1 點傷害。"
"18","en","Ash Hound","Ember Tracker","Passive | Rush","Can attack on the turn it enters play.","Passive | Embers","When defeated, deal 1 damage to an enemy."
"18","ja","灰燼の猟犬","残り火の追跡者","常時｜急襲","登場したターンに攻撃できる。","常時｜残り火","倒された時、敵1体に1ダメージを与える。"
"18","ko","잿빛 사냥개","잿불 추적자","지속 | 급습","등장한 턴에 공격할 수 있습니다.","지속 | 남은 불씨","쓰러지면 적 하나에게 피해를 1 줍니다."
"19","zh-TW","鏡面魅魔","映魂惑使","被動｜鏡面反射","每回合第一次受到攻擊後，對攻擊者造成 2 點傷害。","",""
"19","en","Mirror Succubus","Soul Reflection","Passive | Mirror Reflect","After being attacked for the first time each turn, deal 2 damage to the attacker.","",""
"19","ja","鏡のサキュバス","魂映しの惑い手","常時｜鏡の反射","毎ターン最初に攻撃を受けた後、攻撃者に2ダメージを与える。","",""
"19","ko","거울 서큐버스","영혼을 비추는 유혹자","지속 | 거울 반사","매 턴 처음 공격받은 후 공격자에게 피해를 2 줍니다.","",""
"20","zh-TW","硫磺公爵","煉獄貴胄","登場｜硫火敕令","對所有敵方怪獸造成 2 點傷害。","被動｜公爵威儀","你的回合結束時，使另一名友方怪獸獲得 1 點護盾。"
"20","en","Sulfur Duke","Infernal Noble","On Play | Sulfur Decree","Deal 2 damage to all enemies.","Passive | Ducal Presence","At the end of your turn, give another ally 1 Shield."
"20","ja","硫黄の公爵","煉獄の貴族","登場｜硫火の勅令","敵全体に2ダメージを与える。","常時｜公爵の威光","自分のターン終了時、他の味方1体にシールド1を付与する。"
"20","ko","유황 공작","연옥의 귀족","등장 | 유황불 칙령","모든 적에게 피해를 2 줍니다.","지속 | 공작의 위엄","내 턴 종료 시 다른 아군 하나에게 보호막 1을 부여합니다."
"21","zh-TW","鐐銬獄卒","鐵牢看守","被動｜嘲諷","敵方必須優先攻擊此怪獸。","登場｜鎖鏈束縛","使一名敵方怪獸的戰鬥值降低 2 點，持續至你的下個回合開始。"
"21","en","Shackle Jailer","Iron Prison Guard","Passive | Taunt","Enemies must attack this monster first.","On Play | Chain Bind","Give an enemy -2 Attack until the start of your next turn."
"21","ja","鎖の獄卒","鉄牢の番人","常時｜挑発","敵はこのモンスターを優先して攻撃しなければならない。","登場｜鎖の束縛","敵1体の攻撃力を次の自分のターン開始時まで−2する。"
"21","ko","족쇄 간수","철창의 파수꾼","지속 | 도발","적은 이 몬스터를 우선 공격해야 합니다.","등장 | 사슬 속박","내 다음 턴 시작까지 적 하나의 공격력을 2 감소시킵니다."
"22","zh-TW","石化雞蛇","凝視災禽","被動｜石化凝視","此怪獸攻擊後，使目標無法攻擊，持續至你的下個回合開始。","",""
"22","en","Cockatrice","Dread Gaze","Passive | Petrifying Gaze","After this monster attacks, its target cannot attack until the start of your next turn.","",""
"22","ja","コカトリス","災いの眼差し","常時｜石化の視線","攻撃した後、その対象は次の自分のターン開始時まで攻撃できない。","",""
"22","ko","코카트리스","재앙의 시선","지속 | 석화의 시선","공격한 후 대상이 내 다음 턴 시작까지 공격할 수 없습니다.","",""
"23","zh-TW","寶箱擬態怪","貪金伏噬者","被動｜伏擊利齒","每回合第一次受到攻擊後，對攻擊者造成 2 點傷害。","",""
"23","en","Chest Mimic","Gold-Hungry Ambusher","Passive | Ambush Fangs","After being attacked for the first time each turn, deal 2 damage to the attacker.","",""
"23","ja","宝箱のミミック","黄金を狙う伏兵","常時｜待ち伏せの牙","毎ターン最初に攻撃を受けた後、攻撃者に2ダメージを与える。","",""
"23","ko","보물상자 미믹","황금을 노리는 복병","지속 | 매복 송곳니","매 턴 처음 공격받은 후 공격자에게 피해를 2 줍니다.","",""
"24","zh-TW","矮人精靈","符石鍛造師","登場｜符石護甲","獲得 2 點護盾，優先抵擋傷害。","戰吼｜鍛造之力","使另一名友方怪獸獲得 +1 戰鬥值。"
"24","en","Dwarf Elf","Runestone Smith","On Play | Rune Armor","Gain 2 Shield that blocks damage first.","Battlecry | Forge Power","Give an ally +1 Attack."
"24","ja","ドワーフエルフ","ルーン石の鍛冶師","登場｜ルーンの鎧","ダメージを優先して吸収するシールド2を得る。","雄叫び｜鍛造の力","他の味方1体の攻撃力を＋1する。"
"24","ko","드워프 엘프","룬석 대장장이","등장 | 룬 갑옷","피해를 먼저 흡수하는 보호막 2를 얻습니다.","전투의 함성 | 제련의 힘","다른 아군 하나의 공격력을 +1 증가시킵니다."
"25","zh-TW","克蘇魯","深淵沉睡者","登場｜深淵低語","使所有敵方怪獸的戰鬥值降低 2 點，持續至你的下個回合開始。","被動｜古神再生","你的回合開始時，恢復自身 2 點血量。"
"25","en","Cthulhu","Abyssal Sleeper","On Play | Abyss Whisper","Give all enemies -2 Attack until the start of your next turn.","Passive | Old God Renewal","At the start of your turn, restore 2 Health to itself."
"25","ja","クトゥルフ","深淵の眠り手","登場｜深淵の囁き","敵全体の攻撃力を次の自分のターン開始時まで−2する。","常時｜古神の再生","自分のターン開始時、自身の体力を2回復する。"
"25","ko","크툴루","심연의 잠든 자","등장 | 심연의 속삭임","내 다음 턴 시작까지 모든 적의 공격력을 2 감소시킵니다.","지속 | 고대 신의 재생","내 턴 시작 시 자신의 생명력을 2 회복합니다."
"26","zh-TW","維京狂戰士","血怒雙斧","被動｜浴血狂怒","自身血量為 4 點以下時，戰鬥值增加 3 點。","戰吼｜破盾猛擊","登場時，移除一名敵方怪獸的護盾。"
"26","en","Viking Berserker","Bloodrage Axes","Passive | Blood Fury","While this monster has 4 Health or less, it has +3 Attack.","Battlecry | Shieldbreaker","On entering play, remove an enemy's Shield."
"26","ja","ヴァイキングの狂戦士","血怒の双斧","常時｜血の怒り","自身の体力が4以下の間、攻撃力が＋3される。","雄叫び｜盾砕き","登場時、敵1体のシールドを取り除く。"
"26","ko","바이킹 광전사","피의 분노 쌍도끼","지속 | 피의 분노","자신의 생명력이 4 이하인 동안 공격력이 +3 증가합니다.","전투의 함성 | 방패 파괴","등장 시 적 하나의 보호막을 제거합니다."
"27","zh-TW","精靈使女","晨露侍者","登場｜晨露恩澤","使一名友方怪獸恢復 3 點血量。","被動｜靈葉守護","你的回合結束時，使另一名友方怪獸獲得 1 點護盾。"
"27","en","Elven Handmaiden","Dew Attendant","On Play | Morning Dew","Restore 3 Health to an ally.","Passive | Spirit Leaves","At the end of your turn, give another ally 1 Shield."
"27","ja","エルフの侍女","朝露の侍者","登場｜朝露の恵み","味方1体の体力を3回復する。","常時｜霊葉の守護","自分のターン終了時、他の味方1体にシールド1を付与する。"
"27","ko","엘프 시녀","아침 이슬의 시종","등장 | 아침 이슬의 은혜","아군 하나의 생명력을 3 회복합니다.","지속 | 정령 잎의 수호","내 턴 종료 시 다른 아군 하나에게 보호막 1을 부여합니다."
"28","zh-TW","護盾石像鬼","不動壁壘","被動｜嘲諷","敵方必須優先攻擊此怪獸。","登場｜石化護盾","獲得 3 點護盾，優先抵擋傷害。"
"28","en","Shield Gargoyle","Unyielding Bulwark","Passive | Taunt","Enemies must attack this monster first.","On Play | Stone Shield","Gain 3 Shield, which absorbs damage first."
"28","ja","盾のガーゴイル","不動の砦","常時｜挑発","敵はこのモンスターを優先して攻撃しなければならない。","登場｜石の盾","ダメージを優先して吸収するシールド3を得る。"
"28","ko","방패 가고일","흔들리지 않는 보루","지속 | 도발","적은 이 몬스터를 우선 공격해야 합니다.","등장 | 돌의 보호막","피해를 먼저 흡수하는 보호막 3을 얻습니다."
"29","zh-TW","地獄火巨人","熔核焚世者","登場｜地獄烈焰","對所有敵方怪獸造成 2 點傷害。","被動｜熔火反噬","受到攻擊後，對攻擊者造成 1 點傷害。"
"29","en","Hellfire Giant","Molten Worldburner","On Play | Hellfire","Deal 2 damage to all enemies.","Passive | Molten Reprisal","After being attacked, deal 1 damage to the attacker."
"29","ja","地獄炎の巨人","溶岩の滅世者","登場｜地獄の炎","敵全体に2ダメージを与える。","常時｜溶岩の反撃","攻撃を受けた後、攻撃者に1ダメージを与える。"
"29","ko","지옥불 거인","용암의 세계파괴자","등장 | 지옥의 화염","모든 적에게 피해를 2 줍니다.","지속 | 용암의 반격","공격받은 후 공격자에게 피해를 1 줍니다."
"30","zh-TW","雷霆薩滿法師","雷霆喚靈者","登場｜雷霆震擊","對一名敵方怪獸造成 3 點傷害。","被動｜祖靈祝福","你的回合結束時，使一名友方怪獸恢復 1 點血量。"
"30","en","Thunder Shaman","Stormcaller","On Play | Thunderstrike","Deal 3 damage to an enemy.","Passive | Ancestral Gift","At the end of your turn, restore 1 Health to an ally."
"30","ja","雷のシャーマン","雷霊の呼び手","登場｜雷撃","敵1体に3ダメージを与える。","常時｜祖霊の祝福","自分のターン終了時、味方1体の体力を1回復する。"
"30","ko","천둥 주술사","천둥 정령 소환사","등장 | 천둥 강타","적 하나에게 피해를 3 줍니다.","지속 | 선조의 축복","내 턴 종료 시 아군 하나의 생명력을 1 회복합니다."
"31","zh-TW","火蜥蜴圖騰","熾焰守望者","被動｜餘燼脈動","你的回合結束時，對一名敵方怪獸造成 1 點傷害。","被動｜火靈庇護","你的回合開始時，使另一名友方怪獸獲得 1 點護盾。"
"31","en","Fire Salamander Totem","Blazing Watcher","Passive | Ember Pulse","At the end of your turn, deal 1 damage to an enemy.","Passive | Fire Spirit Ward","At the start of your turn, give another ally 1 Shield."
"31","ja","火蜥蜴のトーテム","炎の見張り","常時｜残火の鼓動","自分のターン終了時、敵1体に1ダメージを与える。","常時｜火霊の庇護","自分のターン開始時、他の味方1体にシールド1を付与する。"
"31","ko","불도마뱀 토템","불꽃의 감시자","지속 | 잿불의 맥동","내 턴 종료 시 적 하나에게 피해를 1 줍니다.","지속 | 불 정령의 가호","내 턴 시작 시 다른 아군 하나에게 보호막 1을 부여합니다."
